,"('Salads', 'Hot Drinks')","('Chiken Snacks', 'Cold Drinks')","('Chiken Snacks', 'Hot Drinks')"
152,1.1362800390837149,1.7255910174880764,1.2697574784051469
153,1.5838637998074134,1.5693020594965676,1.5259682209682208
154,1.5034593717707971,1.4701287401810876,1.472181060760008
155,1.4259785205146984,1.7208280058434855,1.405675202655401
156,3.3151190476190484,1.6262910685805425,2.787026355996944
157,3.252663003663004,1.5063278388278392,2.7369073083778965
158,3.2053989703989703,2.025591017488076,2.6979258268964146
159,3.545941432166552,1.9332141142738104,2.8741995335029684
160,2.0496124588200058,1.6731345029239766,1.883300466853408
161,1.8894311336149705,1.9804145020513,1.8045822784810128
162,1.6117158067158066,1.8823932853717025,1.6487085966775503
163,1.74889817310572,1.7985289230061532,1.6588868207979708
164,1.58555143436685,1.9557076411960133,1.5713008931996275
165,1.3456736781127026,1.861551016188113,1.4372347037495925
166,1.74889817310572,1.7881593137254903,1.6588868207979708
167,1.58555143436685,1.3440718807304881,1.5713008931996275
168,1.3456736781127026,1.0516609062980031,1.4372347037495925
169,1.7634154144850307,0.9771966834649346,1.6704872800402208
170,1.5961648797450014,1.8811722841507013,1.5800489451476794
171,1.3444622416534182,1.7985289230061532,1.4423249979534742
172,1.8579639249639248,2.4438708414872794,1.7714470588235294
173,1.6724357329138553,2.380731789344951,1.6798809523809524
174,1.4127341743131216,2.326547928262214,1.3399796018814458
175,2.897341575091575,2.5052627990657155,2.261276749566224
176,2.7533314054366684,2.8389334544628664,2.1904475412430267
177,2.437064935064935,2.8371316526610637,2.054082040833016
178,2.589725650033027,2.834517273576097,2.0313187663729457
179,2.4614137456316847,2.8380265072471937,1.9651632603065723
180,2.1800689511291917,2.4456640488089825,1.8489794767304517
181,2.596627289377289,2.3769881339653622,2.036863103510786
182,2.4614137456316847,2.3211102491617908,1.9651632603065723
183,2.1800689511291917,2.506534450881301,1.8489794767304517
184,2.596505988548281,2.782191176470588,2.041715457744869
185,2.4656764474905404,2.7584819277108434,1.972879270962216
186,2.191481601731602,2.7358837052062204,1.858657637649992
187,2.698436147186147,2.8071463046757157,2.14856334841629
188,2.562992207792208,2.448210738112888,2.077568393876257
189,2.2432002250622936,2.376934855467113,1.7488058175301238
190,1.5511541608228143,2.3213283102270443,1.3644534412955465
191,1.3491990837586814,2.5074058346387083,1.2539379011792804
192,1.1889458754928923,2.43593365495425,1.1634360657133127
193,1.883979113384484,1.7737213528921576,1.556788710907704
194,1.7621044891640865,2.554358058049333,1.495479403155565
195,1.5896855637281342,2.422706889605157,1.408141368743616
196,1.5742778270116975,2.3558912787454287,1.5798695730884431
197,1.3830934362934364,2.2692059369202218,1.473965335197463
198,1.2112151414476997,2.8389334544628664,1.3762335553997196
199,1.926293956043956,2.8389334544628664,1.779640740136498
200,1.7838116123642436,2.8380265072471937,1.7067033756867709
201,1.6543251588491463,2.8398527410964385,1.6416878311327892
202,1.4749462694168576,2.4203383874467463,1.519010066238982
203,1.2984531325750837,2.3293659673659666,1.4184879832810868
204,1.1401071563365552,2.204825454336324,1.3261658427593912
205,1.8528160173160173,2.428251921281333,1.7410494037131017
206,1.7420506935506932,2.3417029637029634,1.682074939802826
207,1.609010115218774,2.2225881115739607,1.6128557052860164
208,1.0935992495876214,2.4364532199826314,2.310671807747489
209,1.0600979233276748,2.3417029637029634,2.2672531675641427
210,1.0328780957414678,2.22102555053642,2.232922149744753
211,1.1459765685623806,2.4441094461094464,2.3898349797234064
212,1.0476517732258943,2.35403235023304,1.6637445717911599
213,1.0074145127748069,2.2290067901234565,1.6052323886639677
214,0.9288497390873476,2.5596895624486677,1.4972580001697648
215,0.912542658976857,2.4836271088402584,1.477131096613855
216,0.8609797301661113,2.370126167185416,1.4080811691517725
217,0.7890070817446903,1.5148779454463663,1.3149099758536555
218,0.912542658976857,1.4491643139469226,1.477131096613855
219,0.8609797301661113,1.1223182801917946,1.4080811691517725
