McD/SB,Category,Kind,Item,Energy(kcal),Fat(g),Carbohydrates(g),Fiber(g),Protein(g),Sodium(g)
SB,food,Chocolates & Candy,Droga Money on Honey Caramels,180,9.0,27,1.0,1,0.14
SB,food,Chocolates & Candy,Justin's - Dark Chocolate Peanut Butter Cups,210,14.0,21,1.0,4,0.12
SB,food,Fruit & Nuts,Banana,110,0.0,27,3.0,1,0.0
SB,food,Fruit & Nuts,Orange,90,0.0,25,4.0,0,0.0
SB,food,Fruit & Nuts,Seasonal Fruit Blend,90,0.0,24,4.0,1,0.0
SB,food,Fruit & Nuts,Squirrel - Fruit & Nut,200,12.0,23,3.0,4,0.1
SB,food,Fruit & Nuts,Squirrel - Classic Almonds,260,23.0,8,5.0,9,0.17
SB,food,Fruit & Nuts,Squirrel - Creme Brelee Almonds,240,16.0,16,3.0,8,0.165
SB,food,Fruit & Nuts,BarNana - Peanut Butter Chewy Banana Bites,180,8.0,25,2.0,3,0.11
SB,food,Fruit & Nuts,Peter Rabbit Organics - Apple & Grape,100,0.0,26,1.0,9,0.01
SB,food,Fruit & Nuts,Peter Rabbit Organics - Strawberry Banana,80,0.0,18,2.0,1,0.0
SB,food,Fruit & Nuts,Strawberry Bear YoYos,60,0.0,13,2.0,0,0.0
SB,food,Popcorn & Chips,Tortilla Chips,310,19.0,32,3.0,3,0.32
SB,food,Popcorn & Chips,BBQ Chips,270,13.0,35,2.0,5,0.41
SB,food,Popcorn & Chips,Butter Gourmet Popcorn,150,7.0,18,3.0,2,0.24
SB,food,Popcorn & Chips,Hippie Snacks Sesame Snap Coconut Clusters,120,9.0,8,3.0,2,0.045
SB,food,Popcorn & Chips,Hippeas - Far Out Fajita,100,4.0,14,3.0,3,0.115
SB,food,Popcorn & Chips,Hippeas - White Cheddar,100,4.0,14,3.0,3,0.115
SB,food,Popcorn & Chips,Kettle Corn,130,5.0,21,3.0,2,0.13
SB,food,Popcorn & Chips,POP! - Sunflower Oil & Sea Salt,150,8.0,17,3.0,3,0.63
SB,food,Popcorn & Chips,Salt & Vinegar Kettle Chips,270,13.0,34,5.0,2,0.64
SB,food,Popcorn & Chips,Rhythm Super Foods Kale Chips - Sea Salt,130,10.0,8,4.0,5,0.25
SB,food,Popcorn & Chips,Simply Salted Kettle Chips,280,14.0,34,2.0,5,0.24
SB,food,Popcorn & Chips,Sweet Potato Kettle Chips,300,18.0,33,5.0,3,0.14
SB,food,Meat & Cheese,Creminelli Sopressata Monterey Jack Snack Tray,220,17.0,0,0.0,15,0.72
SB,food,Meat & Cheese,Country Archer √ Hickory Smoked Turkey Jerky,70,1.0,5,0.0,10,0.33
SB,food,Meat & Cheese,Country Archer √ Original Beef Jerky,70,1.0,5,0.0,11,0.33
SB,food,Meat & Cheese,Moon Cheese - Cheddar,70,5.0,1,0.0,5,0.0
SB,food,Meat & Cheese,Babybel Mini Cheese Snack,70,6.0,0,0.0,5,0.16
SB,food,Meat & Cheese,String Cheese,80,6.0,1,0.0,7,0.2
SB,food,Snack Bars,Dark Chocolate Chip Peanut Butter Perfect Bar,320,19.0,25,3.0,15,0.11
SB,food,Snack Bars,Perfect Bar - Peanut Butter,330,18.0,26,4.0,17,0.06
SB,food,Snack Bars,Good Squared - Urban Trail,130,7.0,15,2.0,4,0.0
SB,food,Snack Bars,KIND - Almond Coconut Cashew Chai,200,14.0,18,3.0,5,0.015
SB,food,Snack Bars,KIND Peanut Butter Dark Chocolate,200,13.0,17,2.5,7,0.04
SB,food,Snack Bars,That's It - Apple & Blueberry Bar,100,0.0,26,4.0,1,0.025
SB,food,Snack Bars,That's It - Apple & Mango Bar,100,0.0,27,3.0,0,0.025
SB,food,Snack Bars,This Bar Saves Lives √ Dark Chocolate Cherry & Sea Salt Bar,160,6.0,26,6.0,3,0.07
SB,food,Snack Bars,This Bar Saves Lives √ Dark Chocolate Peanut Butter & Sea Salt Bar,190,10.0,22,6.0,4,0.11
SB,food,Snack Bars,"This Bar Saves Lives √ Madagascar Vanilla, Almond & Honey Bar",180,9.0,22,7.0,4,0.07
SB,food,Snack Bars,Blueberry & Oatmeal Jammy Sammy,110,3.5,20,1.0,2,0.04
SB,food,Snack Bars,This Bar Saves Lives √ Wild Blueberry Pistachio Bar,160,7.0,24,7.0,4,0.08
SB,food,Snack Bars,Chocolate Chip Kids Clif ZBar,130,3.5,24,3.0,5,0.1
SB,drink,Cold Drinks,Cool Lime Starbucks Refreshers Beverage,45,0.0,11,0.0,0,0.01
SB,drink,Cold Drinks,Strawberry Acai Starbucks Refreshers Beverage,80,0.0,18,1.0,0,0.01
SB,drink,Cold Drinks,Vegan Superberry Aeae,340,12.0,55,8.0,6,0.14
SB,drink,Cold Drinks,Very Berry Hibiscus Starbucks Refreshers Beverage,60,0.0,14,1.0,0,0.01
SB,drink,Cold Drinks,Evolution FreshOrganic Ginger Limeade,110,0.0,28,0.0,0,0.005
SB,drink,Cold Drinks,Iced Espresso Classics - Vanilla Latte,130,2.5,21,0.0,5,0.065
SB,drink,Cold Drinks,Iced Espresso Classics - Caffe Mocha,140,2.5,23,0.0,5,0.09
SB,drink,Cold Drinks,Iced Espresso Classics - Caramel Macchiato,130,2.5,21,0.0,5,0.065
SB,drink,Cold Drinks,Shaken Sweet Tea,80,0.0,19,0.0,0,0.01
SB,drink,Cold Drinks,Tazoб Bottled Berry Blossom White,60,0.0,15,0.0,0,0.01
SB,drink,Cold Drinks,Tazoб Bottled Black Mango,150,0.0,38,0.0,0,0.015
SB,drink,Cold Drinks,Tazoб Bottled Black with Lemon,140,0.0,35,0.0,0,0.01
SB,drink,Cold Drinks,Tazoб Bottled Brambleberry,140,0.0,35,0.0,0,0.015
SB,drink,Cold Drinks,Tazoб Bottled Giant Peach,150,0.0,37,0.0,0,0.015
SB,drink,Cold Drinks,Tazoб Bottled Iced Passion,70,0.0,17,0.0,0,0.01
SB,drink,Cold Drinks,Tazoб Bottled Lemon Ginger,120,0.0,31,0.0,0,0.01
SB,drink,Cold Drinks,Tazoб Bottled Organic Black Lemonade,140,0.0,35,0.0,0,0.01
SB,drink,Cold Drinks,Tazoб Bottled Organic Iced Black Tea,60,0.0,15,0.0,0,0.01
SB,drink,Cold Drinks,Tazoб Bottled Organic Iced Green Tea,120,0.0,31,0.0,0,0.01
SB,drink,Cold Drinks,Tazoб Bottled Plum Pomegranate,140,0.0,35,0.0,0,0.01
SB,drink,Cold Drinks,Tazoб Bottled Tazoberry,150,0.0,38,0.0,0,0.015
SB,drink,Cold Drinks,Tazoб Bottled White Cranberry,140,0.0,35,0.0,0,0.01
SB,drink,Cold Drinks,Teavanaб Shaken Iced Black Tea,30,0.0,8,0.0,0,0.005
SB,drink,Cold Drinks,Teavanaб Shaken Iced Black Tea Lemonade,70,0.0,17,0.0,0,0.0
SB,drink,Cold Drinks,Teavanaб Shaken Iced Green Tea,30,0.0,8,0.0,0,0.005
SB,drink,Cold Drinks,Teavanaб Shaken Iced Green Tea Lemonade,70,0.0,17,0.0,0,0.005
SB,drink,Cold Drinks,Teavanaб Shaken Iced Passion Tango Tea,30,0.0,8,0.0,0,0.005
SB,drink,Cold Drinks,Teavanaб Shaken Iced Passion Tango Tea Lemonade,90,0.0,24,0.0,0,0.0
SB,drink,Cold Drinks,Teavanaб Shaken Iced Peach Green Tea,60,0.0,15,0.0,0,0.0
SB,drink,Cold Drinks,Iced Espresso Classics - Vanilla Latte,130,2.5,21,0.0,5,0.065
SB,drink,Cold Drinks,Iced Espresso Classics - Caffe Mocha,140,2.5,23,0.0,5,0.09
SB,drink,Cold Drinks,Iced Espresso Classics - Caramel Macchiato,130,2.5,21,0.0,5,0.065
SB,drink,Cold Drinks,Starbucks Refreshers Raspberry Pomegranate,90,0.0,27,0.0,0,0.0
SB,drink,Cold Drinks,Starbucks RefreshersStrawberry Lemonade,90,0.0,27,0.0,0,0.0
SB,drink,Cold Drinks,Starbucks Doubleshot Protein Dark Chocolate,210,2.5,33,2.0,20,0.115
SB,drink,Cold Drinks,Starbucks Doubleshot Protein Vanilla,200,2.5,34,2.0,20,0.12
SB,drink,Cold Drinks,Starbucks Iced Coffee Caramel,60,0.0,13,0.0,1,0.0
SB,drink,Cold Drinks,Starbucks Iced Coffee Light Sweetened,50,0.0,11,0.0,1,0.0
SB,drink,Cold Drinks,Starbucks Iced Coffee Unsweetened,10,0.0,2,0.0,1,0.0
SB,drink,Hot Drinks,Blonde Roast,5,0.0,0,0.0,1,0.01
SB,drink,Hot Drinks,Clover Brewed Coffee,10,0.0,0,0.0,1,0.01
SB,drink,Cold Drinks,Cold Brew with Cold Foam,35,0.0,7,0.0,2,0.03
SB,drink,Cold Drinks,Cold Brew with Salted Cream Cold Foam,230,14.0,23,0.0,2,0.33
SB,drink,Hot Drinks,Decaf Pike Place Roast,5,0.0,0,0.0,1,0.01
SB,drink,Hot Drinks,Featured Dark Roast,5,0.0,0,0.0,1,0.01
SB,drink,Cold Drinks,Starbucks Cold Brew Coffee,5,0.0,0,0.0,0,0.015
SB,drink,Cold Drinks,Nitro Cold Brew,5,0.0,0,0.0,0,0.01
SB,drink,Cold Drinks,Nitro Cold Brew with Cascara Cold Foam,80,0.0,18,0.0,2,0.03
SB,drink,Cold Drinks,Nitro Cold Brew with Sweet Cream,70,5.0,5,0.0,1,0.02
SB,drink,Hot Drinks,Pike Place Roast,5,0.0,0,0.0,1,0.01
SB,drink,Cold Drinks,Pumpkin Cream Cold Brew,250,12.0,31,0.0,3,0.055
SB,drink,Cold Drinks,Vanilla Sweet Cream Cold Brew,110,6.0,14,0.0,1,0.025
SB,drink,Hot Drinks,Hot Chocolate,320,9.0,47,4.0,14,0.16
SB,drink,Hot Drinks,Starbucks Signature Hot Chocolate,430,26.0,45,5.0,12,0.115
