,McD=0_SB=1,Category,Kind,Item,Energy(kcal),Fat(g),Carbohydrates(g),Fiber(g),Protein(g),Sodium(g),b_Energy(kcal),b_Fat(g),b_Carbohydrates(g),b_Fiber(g),b_Protein(g),b_Sodium(g),d_Energy(kcal),d_Fat(g),d_Carbohydrates(g),d_Fiber(g),d_Protein(g),d_Sodium(g)
27,1,food,Bakery,Plain Bagel,280,1.5,56,2.0,9,0.62,0.38620689655172413,0.061855670103092786,0.5320665083135392,0.4,0.41379310344827586,1.4252873563218391,0.2758620689655173,0.044182621502209134,0.38004750593824227,0.2857142857142857,0.2955665024630542,1.097345132743363
28,1,food,Bakery,Pumpkin Bread,410,15.0,63,2.0,6,0.5,0.5655172413793104,0.6185567010309279,0.5985748218527316,0.4,0.27586206896551724,1.1494252873563218,0.40394088669950745,0.44182621502209135,0.4275534441805226,0.2857142857142857,0.19704433497536947,0.8849557522123894
29,1,food,Bakery,Pumpkin Cream Cheese Muffin,350,14.0,53,1.0,5,0.43,0.4827586206896552,0.5773195876288659,0.503562945368171,0.2,0.22988505747126436,0.9885057471264368,0.3448275862068966,0.4123711340206186,0.3596878181201222,0.14285714285714285,0.16420361247947454,0.7610619469026549
30,1,food,Bakery,Pumpkin Scone,500,23.0,70,1.0,4,0.45,0.6896551724137931,0.9484536082474226,0.665083135391924,0.2,0.1839080459770115,1.0344827586206897,0.4926108374384237,0.6774668630338734,0.4750593824228029,0.14285714285714285,0.13136288998357964,0.7964601769911506
31,1,food,Bakery,Sprouted Grain Vegan Bagel,330,6.0,57,7.0,12,0.49,0.45517241379310347,0.24742268041237114,0.5415676959619953,1.4,0.5517241379310345,1.1264367816091954,0.32512315270935965,0.17673048600883653,0.3868340685442823,1.0,0.39408866995073893,0.8672566371681416
32,1,food,Bakery,Strawberry Cake Pop,180,9.0,23,0.0,2,0.08,0.2482758620689655,0.3711340206185567,0.21852731591448932,0.0,0.09195402298850575,0.1839080459770115,0.17733990147783255,0.26509572901325484,0.15609093993892095,0.0,0.06568144499178982,0.14159292035398233
33,1,food,Bakery,The Classic - Bantam Bagels (2 Pack),200,8.0,28,0.0,6,0.27,0.27586206896551724,0.32989690721649484,0.2660332541567696,0.0,0.27586206896551724,0.6206896551724138,0.19704433497536947,0.23564064801178206,0.19002375296912113,0.0,0.19704433497536947,0.47787610619469034
34,1,food,Salads,Cage-Free Eggs & Seasoned Grains Side Salad,360,18.0,33,3.0,17,0.46,0.496551724137931,0.7422680412371134,0.31353919239904987,0.6,0.7816091954022989,1.0574712643678161,0.3546798029556651,0.5301914580265097,0.22395656599932134,0.42857142857142855,0.5582922824302134,0.8141592920353984
35,1,food,Salads,Cauliflower Tabbouleh Side Salad,130,12.0,7,3.0,2,0.52,0.1793103448275862,0.4948453608247423,0.0665083135391924,0.6,0.09195402298850575,1.1954022988505748,0.12807881773399016,0.35346097201767307,0.047505938242280284,0.42857142857142855,0.06568144499178982,0.920353982300885
36,1,food,Lunch/Cold Sandwiches,Chicken & Fig Spread,460,13.0,61,5.0,24,0.94,0.6344827586206897,0.5360824742268041,0.5795724465558195,1.0,1.103448275862069,2.160919540229885,0.4532019704433498,0.38291605301914583,0.4139803189684425,0.7142857142857143,0.7881773399014779,1.6637168141592922
38,1,food,Protein Boxes & Bowls,Farmers' Market Protein Box,470,29.0,29,4.0,21,0.88,0.6482758620689655,1.1958762886597938,0.2755344418052256,0.8,0.9655172413793104,2.0229885057471266,0.46305418719211827,0.8541973490427099,0.19681031557516118,0.5714285714285714,0.6896551724137931,1.5575221238938055
39,1,food,Salads,Garden Greens & Shaved Parmesan Side Salad,170,13.0,9,2.0,7,0.6,0.23448275862068965,0.5360824742268041,0.0855106888361045,0.4,0.3218390804597701,1.379310344827586,0.16748768472906406,0.38291605301914583,0.06107906345436037,0.2857142857142857,0.22988505747126436,1.0619469026548674
