McD=0_SB=1;Category;Kind;Item;Energy(kcal);Fat(g);Carbohydrates(g);Fiber(g);Protein(g);Sodium(g)
1;food;Snack Bars;This Bar Saves Lives – Madagascar Vanilla, Almond & Honey Bar;180;9;22;7;4;0.07
1;food;Snack Bars;Blueberry & Oatmeal Jammy Sammy;110;3.5;20;1;2;0.04
1;food;Snack Bars;This Bar Saves Lives – Wild Blueberry Pistachio Bar;160;7;24;7;4;0.08
1;food;Snack Bars;Chocolate Chip Kids Clif ZBar;130;3.5;24;3;5;0.1
1;drink;Cold Drinks;Cool Lime Starbucks Refreshers Beverage;45;0;11;0;0;0.01
1;drink;Cold Drinks;Strawberry Acai Starbucks Refreshers Beverage;80;0;18;1;0;0.01
1;drink;Cold Drinks;Vegan Superberry Aeae;340;12;55;8;6;0.14
1;drink;Cold Drinks;Very Berry Hibiscus Starbucks Refreshers Beverage;60;0;14;1;0;0.01
1;drink;Cold Drinks;Evolution FreshOrganic Ginger Limeade;110;0;28;0;0;0.005
1;drink;Cold Drinks;Iced Coffee;0;0;0;0;0;0
1;drink;Cold Drinks;Iced Espresso Classics - Vanilla Latte;130;2.5;21;0;5;0.065
1;drink;Cold Drinks;Iced Espresso Classics - Caffe Mocha;140;2.5;23;0;5;0.09
1;drink;Cold Drinks;Iced Espresso Classics - Caramel Macchiato;130;2.5;21;0;5;0.065
1;drink;Cold Drinks;Shaken Sweet Tea;80;0;19;0;0;0.01
1;drink;Cold Drinks;TazoÂ Bottled Berry Blossom White;60;0;15;0;0;0.01
1;drink;Cold Drinks;TazoÂ Bottled Black Mango;150;0;38;0;0;0.015
1;drink;Cold Drinks;TazoÂ Bottled Black with Lemon;140;0;35;0;0;0.01
1;drink;Cold Drinks;TazoÂ Bottled Brambleberry;140;0;35;0;0;0.015
1;drink;Cold Drinks;TazoÂ Bottled Giant Peach;150;0;37;0;0;0.015
1;drink;Cold Drinks;TazoÂ Bottled Iced Passion;70;0;17;0;0;0.01
1;drink;Cold Drinks;TazoÂ Bottled Lemon Ginger;120;0;31;0;0;0.01
1;drink;Cold Drinks;TazoÂ Bottled Organic Black Lemonade;140;0;35;0;0;0.01
1;drink;Cold Drinks;TazoÂ Bottled Organic Iced Black Tea;60;0;15;0;0;0.01
1;drink;Cold Drinks;TazoÂ Bottled Organic Iced Green Tea;120;0;31;0;0;0.01
1;drink;Cold Drinks;TazoÂ Bottled Plum Pomegranate;140;0;35;0;0;0.01
1;drink;Cold Drinks;TazoÂ Bottled Tazoberry;150;0;38;0;0;0.015
1;drink;Cold Drinks;TazoÂ Bottled White Cranberry;140;0;35;0;0;0.01
1;drink;Cold Drinks;TeavanaÂ Shaken Iced Black Tea;30;0;8;0;0;0.005
1;drink;Cold Drinks;TeavanaÂ Shaken Iced Black Tea Lemonade;70;0;17;0;0;0
1;drink;Cold Drinks;TeavanaÂ Shaken Iced Green Tea;30;0;8;0;0;0.005
1;drink;Cold Drinks;TeavanaÂ Shaken Iced Green Tea Lemonade;70;0;17;0;0;0.005
1;drink;Cold Drinks;TeavanaÂ Shaken Iced Passion Tango Tea;30;0;8;0;0;0.005
1;drink;Cold Drinks;TeavanaÂ Shaken Iced Passion Tango Tea Lemonade;90;0;24;0;0;0
1;drink;Cold Drinks;TeavanaÂ Shaken Iced Peach Green Tea;60;0;15;0;0;0
1;drink;Cold Drinks;Iced Espresso Classics - Vanilla Latte;130;2.5;21;0;5;0.065
1;drink;Cold Drinks;Iced Espresso Classics - Caffe Mocha;140;2.5;23;0;5;0.09
1;drink;Cold Drinks;Iced Espresso Classics - Caramel Macchiato;130;2.5;21;0;5;0.065
1;drink;Cold Drinks;Starbucks Refreshers Raspberry Pomegranate;90;0;27;0;0;0
1;drink;Cold Drinks;Starbucks RefreshersStrawberry Lemonade;90;0;27;0;0;0
1;drink;Cold Drinks;Starbucks Doubleshot Protein Dark Chocolate;210;2.5;33;2;20;0.115
1;drink;Cold Drinks;Starbucks Doubleshot Protein Vanilla;200;2.5;34;2;20;0.12
1;drink;Cold Drinks;Starbucks Iced Coffee Caramel;60;0;13;0;1;0
1;drink;Cold Drinks;Starbucks Iced Coffee Light Sweetened;50;0;11;0;1;0
1;drink;Cold Drinks;Starbucks Iced Coffee Unsweetened;10;0;2;0;1;0
1;drink;Hot Drinks;Blonde Roast;5;0;0;0;1;0.01
1;drink;Hot Drinks;Clover Brewed Coffee;10;0;0;0;1;0.01
1;drink;Cold Drinks;Cold Brew with Cold Foam;35;0;7;0;2;0.03
1;drink;Cold Drinks;Cold Brew with Salted Cream Cold Foam;230;14;23;0;2;0.33
1;drink;Hot Drinks;Decaf Pike Place Roast;5;0;0;0;1;0.01
1;drink;Hot Drinks;Featured Dark Roast;5;0;0;0;1;0.01
1;drink;Cold Drinks;Iced Coffee;5;0;0;0;0;0.005
1;drink;Cold Drinks;Starbucks Cold Brew Coffee;5;0;0;0;0;0.015
1;drink;Cold Drinks;Starbucks Cold Brew with Milk;0;0;0;0;0;0
1;drink;Cold Drinks;Nitro Cold Brew;5;0;0;0;0;0.01
1;drink;Cold Drinks;Nitro Cold Brew with Cascara Cold Foam;80;0;18;0;2;0.03
1;drink;Cold Drinks;Nitro Cold Brew with Sweet Cream;70;5;5;0;1;0.02
1;drink;Hot Drinks;Pike Place Roast;5;0;0;0;1;0.01
1;drink;Cold Drinks;Pumpkin Cream Cold Brew;250;12;31;0;3;0.055
1;drink;Cold Drinks;Vanilla Sweet Cream Cold Brew;110;6;14;0;1;0.025
1;drink;Hot Drinks;Hot Chocolate;320;9;47;4;14;0.16
1;drink;Hot Drinks;Starbucks Signature Hot Chocolate;430;26;45;5;12;0.115
1;drink;Hot Drinks;Caffe Latte;190;7;19;0;13;0.17
1;drink;Hot Drinks;Caffe Mocha;290;8;42;4;13;0.14
1;drink;Hot Drinks;Cappuccino;120;4;12;0;8;0.1
1;drink;Hot Drinks;Caramel Macchiato;250;7;35;0;10;0.15
1;drink;Hot Drinks;Cinnamon Dolce Latte;260;6;40;0;11;0.15
1;drink;Cold Drinks;Coconutmilk Mocha Macchiato;250;9;32;0;12;0.18
1;drink;Cold Drinks;Flat White;180;7;18;0;12;0.16
1;drink;Cold Drinks;Iced Caffe Latte;130;4.5;13;0;8;0.115
1;drink;Cold Drinks;Iced Caffe Mocha;230;6;36;4;9;0.09
1;drink;Cold Drinks;Iced Caramel Macchiato;250;7;37;0;10;0.15
1;drink;Cold Drinks;Iced Cinnamon Dolce Latte;200;4;34;0;7;0.095
1;drink;Cold Drinks;Iced Coconutmilk Mocha Macchiato;260;9;34;0;11;0.18
1;drink;Cold Drinks;Iced Vanilla Latte;190;4;30;0;7;0.1
1;drink;Cold Drinks;Iced White Chocolate Mocha;300;8;47;0;10;0.19
1;drink;Hot Drinks;Latte Macchiato;190;7;19;0;12;0.16
1;drink;Hot Drinks;Latte Macchiato;190;7;19;0;12;0.16
1;drink;Hot Drinks;Starbucks Doubleshot on Ice Beverage;45;1;5;0;3;0.04
1;drink;Cold Drinks;Vanilla Latte;250;6;37;0;12;0.15
1;drink;Hot Drinks;White Chocolate Mocha;360;11;53;0;14;0.24
1;drink;Cold Drinks;Cinnamon Dolce Frappuccino Blended Coffee;350;4.5;64;0;15;0
1;drink;Cold Drinks;Coffee Light Frappuccino Blended Coffee;110;0;24;0;3;0.2
1;drink;Cold Drinks;Mocha Frappuccino Blended Coffee;280;2.5;60;2;4;0.22
1;drink;Cold Drinks;Mocha Light Frappuccino Blended Coffee;140;0.5;28;1;4;0.18
1;drink;Hot Drinks;Cinnamon Dolce Creme;200;6;28;0;10;0.135
1;drink;Hot Drinks;Vanilla Creme;200;6;28;0;10;0.135
1;drink;Cold Drinks;Chocolate Smoothie;320;5;53;8;20;0.17
1;drink;Cold Drinks;Strawberry Smoothie;300;2;60;7;16;0.13
0;food;Hot Breakfast;Egg McMuffin;300;13;31;4;17;0.75
0;food;Hot Breakfast;Egg White Delight;250;8;30;4;18;0.77
0;food;Hot Breakfast;Sausage McMuffin;370;23;29;4;14;0.78
0;food;Hot Breakfast;Sausage McMuffin with Egg;450;28;30;4;21;0.86
0;food;Hot Breakfast;Sausage McMuffin with Egg Whites;400;23;30;4;21;0.88
0;food;Hot Breakfast;Steak & Egg McMuffin;430;23;31;4;26;0.96
0;food;Hot Breakfast;Bacon, Egg & Cheese Biscuit (Regular Biscuit);460;26;38;2;19;1.3
0;food;Hot Breakfast;Bacon, Egg & Cheese Biscuit (Large Biscuit);520;30;43;3;19;1.41
0;food;Hot Breakfast;Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit);410;20;36;2;20;1.3
0;food;Hot Breakfast;Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit);470;25;42;3;20;1.42
