,"('Hot Big Breakfast', 'Hot Drinks')","('Hot Breakfast', 'Hot Drinks')","('Burgers', 'Cold Drinks')"
46,1.1987887901572112,1.0696534588470072,0.9541842794059288
47,1.1022898479746963,0.9867347528430664,0.8133604568712341
48,1.0143569959381211,0.9098650421537344,1.0242113531629662
49,1.3861064935064935,1.192106006299555,0.9859068729888164
50,1.3350898479746964,1.1387723703979251,0.8525456167383018
51,1.262383324755533,1.075386079939478,1.1043684562341682
52,1.335545349857425,1.813169243037664,0.9637902966288636
53,1.3134348655158568,1.7672419703103912,0.8846102606752713
54,1.2947851526364478,1.731156256024677,1.1330855614973259
55,1.3844973262032083,1.8896901528013577,0.9926233912412641
56,1.1219258373205745,1.450013958125623,0.9219123998011558
57,1.0851504807257375,1.3794734432234432,0.9154220430107528
58,1.0144244554151671,1.2357682083997874,0.8651406804668896
59,1.0396564261689325,1.2495377676494326,0.8201175961884287
60,0.9929712128502672,1.1689734432234429,1.0146423020897073
61,0.9226138384854689,1.0425556480133138,0.9643437229437228
62,1.0396564261689325,1.2495377676494326,0.920520513303122
63,0.9929712128502672,1.1689734432234429,0.8762150545717786
64,0.9226138384854689,1.0425556480133138,0.840322331483119
65,1.0447089314194575,1.2601512130275838,0.7914251418594499
66,0.9971467645487546,1.1770695970695972,0.9728179655396152
67,0.9252039396010688,1.047560606060606,0.9033720678752016
68,1.0836326995444645,1.3521597044614948,0.8423228803716609
69,1.0344621848739497,1.2696355932203391,0.9727030022151152
70,0.910383082247744,1.0987520990905062,0.9328963585434172
71,1.1798222672064775,1.8288982683982684,0.8641998910180728
72,1.1454800469483568,1.7675074416506935,1.072817965539615
73,1.0897491375050048,1.6427711792851107,1.0345818526415542
74,1.0951009049773757,1.6233395829522588,0.9344049299719888
75,1.055265761234071,1.5638490894209125,0.9669248120300752
76,0.9997378846918016,1.4551113552381902,0.9120201336578674
77,1.0975528560548362,1.6284220779220775,0.8614441361916771
78,1.055265761234071,1.5638490894209125,0.9540141135388124
79,0.9997378846918016,1.4551113552381902,0.9000404364881701
80,1.0995937799043063,1.6330098782327966,0.8554507883630352
81,1.0589276408949306,1.5711369453331478,0.8467256488035051
82,1.0047885378509591,1.4641651186790503,0.7339354303831639
83,1.1410690631808278,1.730402001380262,0.6867839166365107
84,1.1035058410058407,1.6677631578947367,0.9112833225762288
85,0.9865597178039576,1.50871578334304,0.8614441361916771
86,0.9373146705146704,1.1211868485192065,1.2004365079365078
87,0.8776325110296401,1.0177658846529811,1.151782498560737
88,0.8257332137865493,0.9329863715783344,1.1079428291392492
89,0.9746345506345506,1.3145294441386899,1.2457496194824957
90,0.9361109799291616,1.2593073866292657,1.4599816723940435
91,0.8849596910137955,1.178395476579558,1.4589297052154195
92,1.0042966919872578,1.17592733962566,1.4573914014517029
93,0.9512063704989612,1.076732026143791,1.4594529914529917
94,0.8925692874149975,0.985608257918552,1.203106823605549
95,1.049647341337907,1.3756985066737148,1.150871633206128
96,1.0016816692079848,1.3102357998550214,1.1066910866910866
97,0.955438446969697,1.251796030952463,1.24739898989899
98,0.9757241857241856,1.1181560150375938,1.4423633643038591
99,0.9195057020669992,1.0242175185925186,1.4343535115303985
100,0.8665498180584679,0.9374808136846972,1.4259797979797981
101,1.0226273546273543,1.3411001144164758,1.4498987898789877
102,0.9856420657033628,1.2878044751142577,1.2046144370534613
103,0.9349215146113542,1.2252907482255309,1.1502095582692595
104,,1.4162411413572666,1.1058636788048553
105,,1.3689771080932336,1.247911731528483
106,,1.3319631061394723,1.273693010028655
107,,1.504360584721288,1.1157187657567231
108,,1.3346542744054584,1.2808469308469308
109,,1.2713060970481878,1.2078561544394537
110,,1.1580677375488695,1.1666674469413232
111,,1.1266503218362884,1.1070006803789187
112,,1.0536061239805874,1.4599816723940435
113,,0.9590463815463816,1.4599816723940435
114,,1.1266503218362884,1.4594529914529917
115,,1.0536061239805874,1.4605158318940703
116,,0.9590463815463816,1.2307350055600128
117,,1.1375782906876837,1.176554792630966
118,,1.0619112365894974,1.1012373383200873
119,,0.9642103055215532,1.2362793426978531
120,,1.2329621770444659,1.1855377229296855
121,,1.155742892017332,1.114660193596071
122,,1.0180637857108443,1.2419916900519916
123,,1.3969939379135763,1.1855377229296855
124,,1.329352326516439,1.1137175754742374
125,,1.2336040189125297,1.2473772893772894
126,,1.18376017167981,1.1945319714092533
127,,1.118852326516439,1.1199285398272645
128,,1.0403914585260559,1.3241006581494388
129,,1.1889899853444064,1.2835724605631726
130,,1.118852326516439,1.2223303453064829
131,,1.0403914585260559,0.9801258046679928
132,,1.1937459100715824,0.9388532479848268
133,,1.1263545150501673,0.8011421226714195
134,,1.0496464658538531,1.0088429099311509
135,,1.294674133566205,0.9717059807783492
136,,1.226114968917106,0.8402633686023652
137,,1.096713715527494,1.0894854161246044
138,,1.0200495061548192,0.9489464138562879
139,,0.9375436388548865,0.8719155432305538
140,,0.8676382255872646,1.1182025213877622
141,,1.0597956770760175,0.9787819464586972
142,,0.999868983067023,0.9100399769363828
143,,0.929628926839553,0.8961355955872085
144,,1.075290979834323,0.8475096455424275
145,,0.9987808137808136,0.8039111991372041
146,,0.9206328320802006,0.9954307570140012
147,,1.1237371507555225,0.9467638127577006
148,,1.0511425464411035,0.904383235687121
149,,0.9863728335217228,0.8575656125728355
150,,1.0343801687763712,0.8222007502107098
151,,0.9563260073260074,0.7757918742317396
152,,0.8857226154485348,0.9459181972526624
153,,1.0843053743883693,0.8774953816309534
154,,1.026717879604672,0.8173096140680721
155,,0.9573868007793636,0.9483364820177671
156,,1.2427996715927752,0.9093208951718376
157,,1.1968723988655026,0.8412378797672915
158,,1.1607866845797878,1.0459181972526623
159,,1.3151934025815986,1.0087865172117847
160,,1.2351947331947333,0.9094440303837722
161,,1.182532894736842,0.9511815703380588
162,,1.0875030525030525,0.8981499585453422
163,,1.0347185427185428,0.8497643762353215
164,,0.9720328947368422,0.9390627357768594
165,,0.8942904921165791,0.8868041608687935
166,,1.0347185427185428,0.8436892305013522
167,,0.9720328947368422,0.8317345378310146
168,,0.8942904921165791,0.7206991547637875
169,,1.045331988096694,0.675583317284545
170,,0.980129048582996,0.8974131474637035
171,,0.8994761904761905,0.8497643762353215
