McD_solid_b_0,McD_solid_b_1,McD_solid_b_2,McD_solid_b_3,McD_solid_b_4,McD_solid_b_5,McD_solid_b_6,McD_solid_b_7
1.9335882620204654,1.465367562476035,1.478825641025641,1.2055432152686787,2.3991894213381553,1.5260688523800998,1.190637973137973,0.9594920255183412
1.8518138935574229,1.6321238095238093,1.391839067389564,1.3530793586804069,2.2933685811044304,1.6948611111111114,1.1311467842750225,1.0528877388317022
2.286833333333333,1.5731652687169926,2.0011687882675604,1.2887354384625982,3.0952884615384613,1.6174100561600562,1.4735951475713485,1.0096348585096138
2.286833333333333,1.465367562476035,2.0011687882675604,1.2055432152686787,3.0952884615384613,1.5260688523800998,1.4735951475713485,0.9594920255183412
2.2854559228650135,1.6336621534493876,2.0003087951475047,1.3574897202989689,3.0945120640229336,1.7001353494571727,1.4730664666302964,1.055829153366773
2.2882338935574227,1.5763960873025846,2.0020401720249668,1.2958018582541055,3.096074625060474,1.62557688172043,1.4741293070713752,1.0145896464646464
1.8754484605087014,1.4705017088174983,1.5177377413810533,1.2144022285957772,2.522163225856606,1.5359695578935568,1.2549215601818615,0.9659304282371177
1.7775824175824178,1.6725160875160878,1.4134193548387097,1.4514094794094794,2.416787453583792,1.8126057059961311,1.202832525424488,1.1149497052976753
1.6317840395380974,1.6182034632034632,1.2843405717089929,1.3893175500684758,2.2672914765336016,1.7354142120765832,1.1277776591791393,1.0763268018531176
1.8791598915989163,1.4483686086990282,1.5265637371881813,1.2563899868247694,2.532903021774973,1.4309307227966206,1.2601513738464578,0.9626461675579323
1.783820224719101,1.18787825440119,1.427,1.0626944444444444,2.432902286119677,1.296011261551687,1.2113547926309658,0.8999023965916381
1.6432478075051258,1.0803200350374262,1.3033330345051364,0.9735209518613775,2.2887031637063675,1.1985617465590888,1.1406635397123204,0.8460635886875469
1.882962962962963,0.9931917179206338,1.5357291943725064,0.8984346376385212,2.544099830285611,1.1176346884738009,1.265535005560013,0.7983749681690858
1.783820224719101,1.3472150965064533,1.427,1.1660169552669553,2.432902286119677,1.3686010389240733,1.2113547926309658,0.9331776193640948
1.640951991629559,1.2928765567765566,1.3018457692141903,1.1106926690330947,2.287351035795067,1.3030232850206271,1.1397209215904869,0.8949320413064992
1.8855912698412698,1.2068990474332262,1.5444478246995001,1.039777069335893,2.555053263056304,1.2232388937922918,1.270576830135039,0.8488923419879362
1.7891335872761291,1.2531503759398497,1.4407408438637823,1.116897406559878,2.449528908650509,1.5127695973822735,1.2198499894272712,0.9697480991140912
1.644686074577607,1.1571524422973698,1.3105975576948945,1.0323692692932682,2.2976145969659094,1.422361752841951,1.145635198135198,0.9193440410475888
1.929869823358041,1.0581014140897862,1.6767708150744958,0.9506334050021132,2.724114250604623,1.3316970478250216,1.3421943089430894,0.8676133632897068
1.8416421568627448,1.4277503759398495,1.5874894795127352,1.2271246792871506,2.632955145540958,1.595675580288256,1.3033501590466696,1.0074098765083968
1.707110521662246,1.3569300492610838,1.4677868510148362,1.1612387669801465,2.4878561600561597,1.5153103189493433,1.242375482964524,0.9626135571289159
1.3072091497611298,1.2895767075627174,1.1564190476190475,1.1020510022190695,1.5628600984150285,1.4444140643288543,0.9954942478998081,0.9210165056784303
1.236375776846365,1.1987887901572112,1.0875783475783476,1.0696534588470072,1.4880124835198782,1.4631073814693303,0.9541842794059289,0.9427745265224917
1.0278372097038764,1.1022898479746965,0.9222685453527519,0.9867347528430663,1.1447791317593297,1.3719989593455366,0.8133604568712341,0.8913519098626871
1.4319234354754156,1.0143569959381211,1.237252380952381,0.9098650421537343,1.6244474000023303,1.2902761257434157,1.0242113531629662,0.8422920216950969
1.3704857844857845,1.3861064935064935,1.1796296296296296,1.192106006299555,1.5531669841916202,1.5514227430193244,0.9859068729888165,0.9839513415107822
1.1815539448771002,1.3350898479746964,1.0254427285765617,1.1387723703979253,1.224736957438805,1.488585497807075,0.8525456167383018,0.9468227447845324
1.4119914034106793,1.262383324755533,1.2297465070835367,1.0753860799394779,2.1787699372759857,1.4129065791609656,1.1043684562341682,0.9016205128371919
1.2414851122357402,1.335545349857425,1.1013629848412458,1.8131692430376638,1.5042610837438422,4.664460784313725,0.9637902966288637,1.204500190912562
1.1024990476190475,1.3134348655158568,0.9778146551724138,1.7672419703103912,1.3644112637362635,4.590166666666667,0.8846102606752713,1.173315005727377
1.536705689124965,1.2947851526364478,1.31057984041687,1.731156256024677,2.240357238863287,4.535253623188406,1.133085561497326,1.1477998542122252
1.373367999437847,1.3844973262032085,1.1892084726867336,1.8896901528013579,1.564609648342525,7.385555555555555,0.992623391241264,1.2500158318940702
1.2464003463203464,1.1219258373205743,1.0778278862478778,1.450013958125623,1.439050949050949,2.322627450980392,0.9219123998011558,1.1130583435332517
1.2054956954156952,1.0851504807257377,1.0226526497695851,1.3794734432234432,1.4327853477622547,2.1289925571504518,0.9154220430107527,1.0796587691587691
1.1085626637751873,1.0144244554151673,0.9445126225126226,1.2357682083997874,1.3452943679954603,1.8310674186062386,0.8651406804668896,1.0143938379159119
