,"('Meat & Cheese', 'Cold Drinks')","('Meat & Cheese', 'Hot Drinks')","('Snack Bars', 'Cold Drinks')","('Snack Bars', 'Hot Drinks')","('Fruit & Nuts', 'Cold Drinks')","('Fruit & Nuts', 'Hot Drinks')","('Popcorn & Chips', 'Cold Drinks')","('Popcorn & Chips', 'Hot Drinks')"
56,1.2440220430325382,37.294000000000004,1.6181680727874277,7.089047619047619,2.8328926282051277,3.936351778656127,1.559652913968547,7.762348484848485
57,0.9782740633074936,37.294000000000004,2.0145707082780957,7.089047619047619,2.2971657509157506,3.936351778656127,1.5132845744680852,7.762348484848485
58,1.7935485933503834,37.294000000000004,1.8344066387166076,7.089047619047619,2.7002941176470587,3.936351778656127,2.219694910352805,7.762348484848485
59,1.7005813592902057,2.141701127819549,1.3856412901424062,1.65925284783866,4.356890282131661,1.484043956043956,1.7161623627093796,1.7680895100834124
60,2.82056223893066,2.153496411187196,1.6946297403586037,1.7727419737125618,13.998828282828278,1.4659947620419034,1.965175824175824,1.7907466307277626
61,1.152651635835015,2.626235294117647,1.1817227772227772,2.1903861003861005,2.425647631779985,1.9851735548020373,1.079805534071336,2.5124218346253233
62,1.1847785164999785,2.339419882443138,1.2793730911719527,1.7921353162966067,4.3966344203463885,1.5747694462400346,1.1686671388616467,1.9075220531455828
63,8.214867647058822,3.991282051282052,3.0416662881368763,2.836437012263098,11.001666666666667,2.4204642857142864,2.8789179805701544,3.322347480106101
64,8.93437851662404,2.2013333333333334,2.8730544945250833,2.1078072367883687,10.827441860465116,1.9146901737101372,2.6063913193724515,2.299012373285629
65,1.557708265139116,2.1381051367331856,1.332808373590982,2.0588278474399164,2.4850357142857136,1.8722857142857143,1.2898303030303029,2.2286089743589743
66,9.165591331269347,2.680058823529412,2.930463585434174,2.238332954803543,10.887692307692307,2.0186097455176397,2.645297749869178,2.559967576461479
